node_id,Airport ID,Name,City,Country,IATA/FAA,ICAO,Latitude,Longitude,Altitude,Timezone,DST,alpha-2_x,alpha-3,name,alpha-2_y,country-code,iso_3166-2,region,sub-region,intermediate-region,region-code,sub-region-code,intermediate-region-code
1214,2741,Guillermo Leon Valencia,Popayan,Colombia,PPN,SKPP,2.4544,-76.609319,5687,-5.0,U,CO,COL,Colombia,CO,170.0,ISO 3166-2:CO,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
1215,2742,Antonio Narino,Pasto,Colombia,PSO,SKPS,1.396247,-77.291478,5951,-5.0,U,CO,COL,Colombia,CO,170.0,ISO 3166-2:CO,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
1216,2743,El Embrujo,Providencia,Colombia,PVA,SKPV,13.356944,-81.35833,10,-5.0,U,CO,COL,Colombia,CO,170.0,ISO 3166-2:CO,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
1217,2745,Jose Maria Cordova,Rio Negro,Colombia,MDE,SKRG,6.164536,-75.423119,6955,-5.0,U,CO,COL,Colombia,CO,170.0,ISO 3166-2:CO,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
1218,2746,Almirante Padilla,Rio Hacha,Colombia,RCH,SKRH,11.526222,-72.925958,43,-5.0,U,CO,COL,Colombia,CO,170.0,ISO 3166-2:CO,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
1219,2747,Jorge E Gonzalez Torres,San Jose Del Guaviare,Colombia,SJE,SKSJ,2.579694,-72.639358,605,-5.0,U,CO,COL,Colombia,CO,170.0,ISO 3166-2:CO,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
1220,2748,Simon Bolivar,Santa Marta,Colombia,SMR,SKSM,11.11965,-74.230647,22,-5.0,U,CO,COL,Colombia,CO,170.0,ISO 3166-2:CO,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
1221,2749,Gustavo Rojas Pinilla,San Andres Island,Colombia,ADZ,SKSP,12.583594,-81.711192,19,-5.0,U,CO,COL,Colombia,CO,170.0,ISO 3166-2:CO,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
1222,2750,Eduardo Falla Solano,San Vincente De Caguan,Colombia,SVI,SKSV,2.152175,-74.76635,920,-5.0,U,CO,COL,Colombia,CO,170.0,ISO 3166-2:CO,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
1223,2751,Tame,Tame,Colombia,TME,SKTM,6.451081,-71.760261,1050,-5.0,U,CO,COL,Colombia,CO,170.0,ISO 3166-2:CO,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
1224,2752,Santiago Perez,Arauca,Colombia,AUC,SKUC,7.068881,-70.736925,420,-4.0,U,CO,COL,Colombia,CO,170.0,ISO 3166-2:CO,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
1225,2753,El Carano,Quibdo,Colombia,UIB,SKUI,5.690758,-76.641181,204,-5.0,U,CO,COL,Colombia,CO,170.0,ISO 3166-2:CO,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
1226,2755,Alfonso Lopez Pumarejo,Valledupar,Colombia,VUP,SKVP,10.435042,-73.249506,456,-5.0,U,CO,COL,Colombia,CO,170.0,ISO 3166-2:CO,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
1227,2756,Vanguardia,Villavicencio,Colombia,VVC,SKVV,4.167875,-73.613761,1394,-5.0,U,CO,COL,Colombia,CO,170.0,ISO 3166-2:CO,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
1228,2759,Jorge Wilsterman,Cochabamba,Bolivia,CBB,SLCB,-17.421058,-66.177114,8360,-4.0,U,BO,BOL,Bolivia (Plurinational State of),BO,68.0,ISO 3166-2:BO,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
1229,2761,Heroes Del Acre,Cobija,Bolivia,CIJ,SLCO,-11.040436,-68.782972,892,-4.0,U,BO,BOL,Bolivia (Plurinational State of),BO,68.0,ISO 3166-2:BO,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
1230,2762,El Alto Intl,La Paz,Bolivia,LPB,SLLP,-16.513339,-68.192256,13325,-4.0,U,BO,BOL,Bolivia (Plurinational State of),BO,68.0,ISO 3166-2:BO,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
1231,2765,Tte De Av Salvador Ogaya G,Puerto Suarez,Bolivia,PSZ,SLPS,-18.975281,-57.820586,439,-4.0,U,BO,BOL,Bolivia (Plurinational State of),BO,68.0,ISO 3166-2:BO,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
1232,2767,Juana Azurduy De Padilla,Sucre,Bolivia,SRE,SLSU,-19.007083,-65.288747,9527,-4.0,U,BO,BOL,Bolivia (Plurinational State of),BO,68.0,ISO 3166-2:BO,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
1233,2768,Capitan Oriel Lea Plaza,Tarija,Bolivia,TJA,SLTJ,-21.555736,-64.701325,6084,-4.0,U,BO,BOL,Bolivia (Plurinational State of),BO,68.0,ISO 3166-2:BO,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
